mic_id,gene_group,grp,condval,condsd
amoxicillin,clavulanic,horse,0.04915249214119285,0.2883182897616746
amoxicillin,clavulanic,cat,-0.2550353096429059,0.17791862425093233
amoxicillin,clavulanic,dog,0.21597200235611833,0.1558851732712113
doxycycline,tet,horse,-0.012564015584376429,0.049492226152109145
doxycycline,tet,cat,-0.0036934690833334387,0.04984274345194774
doxycycline,tet,dog,0.016358475490350362,0.049524346559724014
tetracycline,tet,cattle,0.7342517553804202,0.24118444520978294
tetracycline,tet,swine,0.9100037515423207,0.29750136904393604
tetracycline,tet,chicken,-0.1356876072125891,0.2067358835818142
tetracycline,tet,turkey,0.8859806962674598,0.3271741165365538
tetracycline,tet,horse,-0.6842176808775163,0.19094439718433984
tetracycline,tet,cat,-1.148437923770947,0.23078442735650756
tetracycline,tet,dog,-0.5557025577567379,0.17995604797426748
doxycycline,tet,horse,-5.3263658307193444e-17,8.902691511386157e-9
doxycycline,tet,cat,-8.929085663262329e-17,8.902691511386157e-9
doxycycline,tet,dog,1.4254581472427653e-16,8.902691511386157e-9
tetracycline,tet,cattle,0.9624004820244714,0.2670861122869661
tetracycline,tet,swine,1.1543694781153282,0.326346850368578
tetracycline,tet,chicken,0.22574116207877284,0.2217805167383636
tetracycline,tet,turkey,0.6100589272881014,0.3970996966299426
tetracycline,tet,horse,-0.6795220763415997,0.2484491582017853
tetracycline,tet,cat,-1.3682293315938687,0.28496454149978045
tetracycline,tet,dog,-0.8332296522022464,0.23077171473188776
amoxicillin,clavulanic,horse,4.4878817470504317e-4,0.02660177288593919
amoxicillin,clavulanic,cat,-0.003653318213851299,0.026412598256395317
amoxicillin,clavulanic,dog,0.0032102307913867653,0.02634723360581373
amoxicillin,clavulanic,horse,0,0
amoxicillin,clavulanic,cat,0,0
amoxicillin,clavulanic,dog,0,0
gentamicin,aac,cattle,0.06144079515149351,0.17271297899619992
gentamicin,aac,swine,0.3158566667782581,0.1980579785163244
gentamicin,aac,chicken,0.06946944309014866,0.20425029235513975
gentamicin,aac,turkey,0.07147148038753309,0.24428604439774698
gentamicin,aac,horse,0.07057124643007058,0.1900695618568388
gentamicin,aac,cat,-0.31588628166810434,0.1974503895451694
gentamicin,aac,dog,-0.23033130386781703,0.1876944802007152
doxycycline,tet,horse,0,0
doxycycline,tet,cat,0,0
doxycycline,tet,dog,0,0
tetracycline,tet,cattle,0.672640411437783,0.2829465978618011
tetracycline,tet,swine,0.7567618110651095,0.34550782754512094
tetracycline,tet,chicken,-0.3720035918116171,0.26864018023933856
tetracycline,tet,turkey,0.8486745200925715,0.35743665224754356
tetracycline,tet,horse,-0.21277038633700637,0.21472191210139985
tetracycline,tet,cat,-1.0486114783446152,0.25698958639120884
tetracycline,tet,dog,-0.5693127562865736,0.21357976323712294
trimethoprim,sulfamethoxazole,cattle,0.9946891054212286,0.17406160011492117
trimethoprim,sulfamethoxazole,swine,0.6642084554272017,0.2546645861097869
trimethoprim,sulfamethoxazole,chicken,-0.5275681008552083,0.35773117084511624
trimethoprim,sulfamethoxazole,turkey,-0.6258261023088889,0.5267016242469947
trimethoprim,sulfamethoxazole,horse,0.993613902331311,0.2086876746614476
trimethoprim,sulfamethoxazole,cat,-1.109392871673285,0.36203580356499127
trimethoprim,sulfamethoxazole,dog,-0.19747521340478294,0.2538197441984005
chloramphenicol,catA1,horse,0.047904607256063915,0.14271964203590995
chloramphenicol,catA1,cat,-0.12829974552884882,0.14343035719222563
chloramphenicol,catA1,dog,0.08649934115525967,0.13711456904912556
sulphadimethoxine,sul2,cattle,-0.006012093195463363,0.19964350948708795
sulphadimethoxine,sul2,swine,0.6865535151691852,0.23072629424334176
sulphadimethoxine,sul2,chicken,-0.5519550631292628,0.24152142167651366
sulphadimethoxine,sul2,turkey,-0.025347968873243344,0.3485835103065346
sulphadimethoxine,sul2,cat,-0.07062949569161137,0.5005897000427096
sulphathiazole,sul2,chicken,0,0
sulphathiazole,sul2,turkey,0,0
sulphathiazole,sul2,cat,0,0
streptomycin,aph,chicken,0.8898259329950374,0.24393556471447506
streptomycin,aph,turkey,-0.7522436826786111,0.45432147458428823
streptomycin,aph,cat,-0.06782702569372763,0.8725858570310604
streptomycin,aph,chicken,0.8898259329950374,0.24393556471447506
streptomycin,aph,turkey,-0.7522436826786111,0.45432147458428823
streptomycin,aph,cat,-0.06782702569372763,0.8725858570310604
spectinomycin,aadA1,cattle,0,0
spectinomycin,aadA1,swine,0,0
spectinomycin,aadA1,chicken,0,0
spectinomycin,aadA1,turkey,0,0
spectinomycin,aadA1,cat,0,0
streptomycin,aadA1,chicken,0.4826968700152112,0.24984420924083925
streptomycin,aadA1,turkey,-0.42657993655338755,0.39147780354339057
streptomycin,aadA1,cat,-0.02742328453982629,0.5530579357484847
streptomycin,aac,chicken,0.3017992210919248,0.2235851400820773
streptomycin,aac,turkey,-0.26464801105790603,0.31431563322471645
streptomycin,aac,cat,-0.018761860677542923,0.389060291952705
sulphadimethoxine,sul1,cattle,0.3741309771274629,0.1611846374638421
sulphadimethoxine,sul1,swine,0.564423322407497,0.2216422899746852
sulphadimethoxine,sul1,chicken,-0.9725513403003778,0.2374253609842348
sulphadimethoxine,sul1,turkey,0.2056513142637363,0.3224864169999811
sulphadimethoxine,sul1,cat,-0.15708258850329426,0.621068487105632
sulphathiazole,sul1,chicken,-0.5394348470953753,0.25576575950834385
sulphathiazole,sul1,turkey,0.6817417641184225,0.3307827107059666
sulphathiazole,sul1,cat,-0.11215284629510358,0.6505788881281426
spectinomycin,ant,cattle,0,0
