mic_id,gene_group,grp,condval,condsd
oxytetracycline,tet,chicken,-1.1036483509116108,0.2580484419707328
oxytetracycline,tet,turkey,0.14306667356772212,0.3582939026359222
oxytetracycline,tet,cat,0.008454090910105252,0.7736626529927483
florfenicol,floR,cattle,0,0
florfenicol,floR,swine,0,0
florfenicol,floR,chicken,0,0
florfenicol,floR,turkey,0,0
florfenicol,floR,cat,0,0
spectinomycin,aadA2,cattle,0,0
spectinomycin,aadA2,swine,0,0
spectinomycin,aadA2,chicken,0,0
spectinomycin,aadA2,turkey,0,0
spectinomycin,aadA2,cat,0,0
florfenicol,cmlA1,cattle,0.9666041318358107,0.15543868586546578
florfenicol,cmlA1,swine,-0.158885820116289,0.25612994622440627
florfenicol,cmlA1,chicken,-0.3414423106499616,0.27345897641470773
florfenicol,cmlA1,turkey,-0.3330281009717621,0.38902944064382167
florfenicol,cmlA1,cat,-0.057874843628985095,0.6022327275177068
sulphadimethoxine,sul3,cattle,0.40848803952905977,0.152507713656045
sulphadimethoxine,sul3,swine,0.4281835140870448,0.21741831680015478
sulphadimethoxine,sul3,chicken,-0.9238987632647719,0.22004574540154417
sulphadimethoxine,sul3,turkey,0.25124883953056093,0.30219276570116765
sulphadimethoxine,sul3,cat,-0.1587244620037758,0.5852099465170874
neomycin,mef,cattle,0.0623991976503039,0.13884942345172457
neomycin,mef,swine,0.01469269544027758,0.16061180153985918
neomycin,mef,chicken,-0.19854257975608122,0.1655569504363598
neomycin,mef,turkey,0.13936709774285636,0.18443875263276496
neomycin,mef,cat,-0.007587899701781366,0.20526588359178718
chlortetracycline,tet,cattle,0,0
chlortetracycline,tet,swine,0,0
chlortetracycline,tet,cattle,-0.3633912482216978,0.2195275826779855
chlortetracycline,tet,swine,0.35661494144577843,0.2899523861095841
