grp,mean_condval,mean_consd
chicken,0.2044344925284947,0.13648656491242755
cat,0.11455279843347244,0.2661814638283615
swine,-0.04562958325390875,0.13029709174217574
turkey,0.13148946277473847,0.16868837711043153
cattle,-0.10637556485728672,0.1109262984147862
dog,0.0640841213237032,0.25720699291860466
horse,-0.3756870323227482,0.2489261309560007
